Name,SKU,Category,Description,Price,Specifications,Availability,ImageUrl,DatasheetUrl
6mm 4 Core SWA Cable 100m,CAB-6-SWA,Cables,"Armoured cable for external and underground power distribution.",680,"Conductor: Copper; Size: 6mm2; Cores: 4; Armour: SWA; Length: 100m",Pre-order,https://images.unsplash.com/photo-1518770660439-4636190af475?auto=format&fit=crop&w=600&q=80,
20mm Heavy Gauge PVC Conduit,CON-20-PVC,Containment,"Rigid conduit for neat exposed cable routes in commercial installations.",8.5,"Diameter: 20mm; Length: 3m; Material: PVC; Grade: Heavy gauge",In stock,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=600&q=80,
100mm Galvanised Cable Tray,TRAY-100-GI,Containment,"Galvanised tray for organised cable support along commercial routes.",46,"Width: 100mm; Length: 2.4m; Finish: Galvanised iron",In stock,https://images.unsplash.com/photo-1581092919535-7146ff1a590f?auto=format&fit=crop&w=600&q=80,
50mm Galvanised Metal Trunking,TRUNK-50-GI,Containment,"Accessible metal trunking for protected cable management.",35,"Width: 50mm; Length: 2.4m; Finish: Galvanised iron",In stock,https://images.unsplash.com/photo-1503387762-592deb58ef4e?auto=format&fit=crop&w=600&q=80,
8 Way SPN Distribution Board,DB-8WAY-SPN,Distribution,"Compact single-phase board ready for MCB configurations.",238,"Ways: 8; Phase: Single; Enclosure: Steel; Mounting: Surface",In stock,https://images.unsplash.com/photo-1621905251918-48416bd8575a?auto=format&fit=crop&w=600&q=80,
12 Way TPN Distribution Board,DB-12WAY-TPN,Distribution,"Three-phase distribution board for commercial project installations.",580,"Ways: 12; Phase: Three phase; Configuration: TPN; Enclosure: Steel",Pre-order,https://images.unsplash.com/photo-1581092160607-ee22621dd758?auto=format&fit=crop&w=600&q=80,
IP65 Junction Box,JBOX-IP65,Accessories,"Weatherproof enclosure for protected cable terminations.",16,"Protection: IP65; Material: ABS; Size: 150mm; Colour: Grey",In stock,https://images.unsplash.com/photo-1562408590-e32931084e23?auto=format&fit=crop&w=600&q=80,
M20 Nylon Cable Gland,GLAND-M20-NYL,Accessories,"IP68 nylon cable gland for secure cable entry.",3.8,"Size: M20; Material: Nylon; Protection: IP68; Colour: Black",In stock,https://images.unsplash.com/photo-1581092162384-8987c1d64718?auto=format&fit=crop&w=600&q=80,
63A 4 Pole Isolator Switch,ISO-63A-4P,Wiring devices,"Lockable outdoor isolator for equipment isolation and maintenance.",124,"Current: 63A; Poles: 4P; Protection: IP65; Lockable: Yes",In stock,https://images.unsplash.com/photo-1581093450021-4a7360e9a6b5?auto=format&fit=crop&w=600&q=80,
Digital Three Phase Energy Meter,METER-DIN-3P,Accessories,"DIN rail energy meter for three-phase monitoring and tenant metering.",318,"Phase: Three phase; Mounting: DIN rail; Communication: Modbus; Display: Digital",Low stock,https://images.unsplash.com/photo-1551818255-e6e10975bc17?auto=format&fit=crop&w=600&q=80,
